time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449000000	19.2392	16.4094	4.74087	2.09816	0.578414	lidar	1.01004	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1184	16.6092	4.73711	2.12798	0.581072	radar	0.317897	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	18.992	16.813	4.74119	2.15578	0.57952	lidar	0.0409682	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8348	17.004	4.75243	2.21476	0.644065	radar	6.34287	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6708	17.2252	4.7957	2.24738	0.641892	lidar	1.53025	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5659	17.4329	4.78317	2.2315	0.547602	radar	6.21992	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3592	17.6149	4.81211	2.27769	0.565338	lidar	3.77323	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2224	17.8072	4.80541	2.28051	0.513167	radar	2.41865	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0895	17.9943	4.79576	2.29697	0.504223	lidar	0.911657	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9126	18.1505	4.78861	2.34042	0.538341	radar	1.99399	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.775	18.2999	4.74927	2.36261	0.535542	lidar	1.25957	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6388	18.484	4.74099	2.36941	0.506314	radar	6.71895	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4508	18.6583	4.76235	2.39673	0.507303	lidar	0.357975	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.268	18.8014	4.75413	2.43195	0.525169	radar	1.7985	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1035	18.9407	4.72965	2.45659	0.524667	lidar	0.455532	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9361	19.1111	4.73404	2.46812	0.502335	radar	3.01135	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7209	19.2246	4.73033	2.50857	0.518366	lidar	2.72073	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5322	19.3764	4.74007	2.53234	0.519831	radar	3.19117	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3158	19.5297	4.7727	2.55788	0.517834	lidar	0.790934	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0912	19.6144	4.76208	2.60896	0.556194	radar	10.0971	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8892	19.7554	4.77514	2.62922	0.54778	lidar	0.766162	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6981	19.882	4.76065	2.63397	0.500962	radar	3.21155	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4755	20.0287	4.79618	2.65194	0.491935	lidar	1.40224	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2683	20.1675	4.80892	2.66316	0.471721	radar	5.73174	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0771	20.3013	4.80452	2.67434	0.45912	lidar	1.81199	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
